time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
3.392,100,188.939,-88.9391,-14.7724,402.307,-2.22348,5.36348,0.916522
3.424,100,185.829,-85.8289,-16.1457,194.388,-2.14572,5.28572,0.994278
3.456,100,186.572,-86.5721,-17.5308,-46.4477,-2.1643,5.3043,0.975698
3.488,100,189.384,-89.3835,-18.961,-175.716,-2.23459,5.37459,0.905412
3.52,100,182.278,-82.2785,-20.2774,444.065,-2.05696,5.19696,1.08304
3.552,100,176.872,-76.8725,-21.5074,337.874,-1.92181,5.06181,1.21819
3.584,100,166.799,-66.7991,-22.5762,629.59,-1.66998,4.80998,1.47002
3.616,100,168.549,-68.5488,-23.673,-109.356,-1.71372,4.85372,1.42628
3.648,100,153.229,-53.2289,-24.5246,957.49,-1.33072,4.47072,1.80928
3.68,100,149.216,-49.2164,-25.3121,250.782,-1.23041,4.37041,1.90959
3.712,100,149.413,-49.4135,-26.1027,-12.3184,-1.23534,4.37534,1.90466
3.744,100,133.808,-33.8076,-26.6436,975.369,-0.84519,3.98519,2.29481
3.776,100,126.259,-26.2594,-27.0638,471.764,-0.656484,3.79648,2.48352
3.808,100,121.068,-21.0682,-27.4009,324.446,-0.526706,3.66671,2.61329
3.84,100,123.424,-23.4236,-27.7756,-147.209,-0.58559,3.72559,2.55441
3.872,100,111.012,-11.0117,-27.9518,775.745,-0.275292,3.41529,2.86471
3.904,100,114.72,-14.7202,-28.1874,-231.782,-0.368005,3.508,2.772
3.936,100,113.611,-13.6107,-28.4051,69.3442,-0.340267,3.48027,2.79973
3.968,100,109.153,-9.15309,-28.5516,278.599,-0.228827,3.36883,2.91117
4,100,107.825,-7.82469,-28.6768,83.0251,-0.195617,3.33562,2.94438
4.032,100,99.2554,0.744558,-28.6649,535.578,0.018614,3.12139,3.15861
4.064,100,101.62,-1.61958,-28.6908,-147.758,-0.0404894,3.18049,3.09951
4.096,100,98.0672,1.93278,-28.6598,222.023,0.0483196,3.09168,3.18832
4.128,100,91.4521,8.54793,-28.5231,413.447,0.213698,2.9263,3.3537
4.16,100,84.6154,15.3846,-28.2769,427.294,0.384616,2.75538,3.52462
4.192,100,89.5591,10.4409,-28.1099,-308.983,0.261023,2.87898,3.40102
4.224,100,82.6819,17.3181,-27.8328,429.822,0.432951,2.70705,3.57295
4.256,100,78.5742,21.4258,-27.49,256.732,0.535644,2.60436,3.67564
4.288,100,64.4561,35.5439,-26.9213,882.384,0.888598,2.2514,4.0286
4.32,100,69.8755,30.1245,-26.4393,-338.715,0.753112,2.38689,3.89311
4.352,100,68.4478,31.5522,-25.9344,89.2344,0.788805,2.35119,3.92881
4.384,100,75.3607,24.6393,-25.5402,-432.057,0.615983,2.52402,3.75598
4.416,100,64.6538,35.3462,-24.9747,669.184,0.883656,2.25634,4.02366
4.448,100,74.1421,25.8579,-24.5609,-593.022,0.646447,2.49355,3.78645
4.48,100,67.0344,32.9656,-24.0335,444.231,0.82414,2.31586,3.96414
4.512,100,68.1776,31.8224,-23.5243,-71.4503,0.79556,2.34444,3.93556
4.544,100,65.4662,34.5338,-22.9718,169.463,0.863345,2.27666,4.00334
4.576,100,61.3291,38.6709,-22.3531,258.566,0.966771,2.17323,4.10677
4.608,100,65.948,34.052,-21.8082,-288.681,0.851299,2.2887,3.9913
4.64,100,70.9871,29.0129,-21.344,-314.942,0.725322,2.41468,3.86532
4.672,100,70.2481,29.7519,-20.868,46.1871,0.743797,2.3962,3.8838
4.704,100,68.3307,31.6693,-20.3613,119.841,0.791733,2.34827,3.93173
4.736,100,66.3699,33.6301,-19.8232,122.549,0.840753,2.29925,3.98075
4.768,100,64.8713,35.1287,-19.2611,93.6607,0.878217,2.26178,4.01822
4.8,100,68.3264,31.6736,-18.7544,-215.94,0.791841,2.34816,3.93184
4.832,100,67.4717,32.5283,-18.2339,53.4169,0.813208,2.32679,3.95321
