time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
2.464,80,72.0441,7.95586,-4.04454,-7.50191,0.00692185,3.13308,3.14692,-2.1886
2.496,80,68.3125,11.6875,-3.76404,25.0957,0.2721,2.8679,3.4121,-2.0107
2.528,80,74.8934,5.10656,-3.64148,-34.7648,-0.210591,3.35059,2.92941,-1.92061
2.56,80,75.9577,4.04233,-3.54447,-36.6805,-0.233454,3.37345,2.90655,-1.84608
2.592,80,66.7276,13.2724,-3.22593,47.5731,0.447043,2.69296,3.58704,-1.65943
2.624,80,71.1934,8.80656,-3.01457,0.84294,0.0766054,3.06339,3.21661,-1.53179
2.656,80,74.2784,5.72158,-2.87725,-25.0339,-0.133974,3.27397,3.00603,-1.4444
2.688,80,79.0377,0.962287,-2.85416,-59.6878,-0.422092,3.56209,2.71791,-1.41575
2.72,80,71.8978,8.10218,-2.6597,11.7488,0.148494,2.99151,3.28849,-1.30378
2.752,80,73.9413,6.05874,-2.51429,-7.62957,-0.00667955,3.14668,3.13332,-1.21817
2.784,80,75.4808,4.51919,-2.40583,-18.9332,-0.100255,3.24026,3.03974,-1.15222
2.816,80,72.6006,7.39937,-2.22825,8.85492,0.122914,3.01709,3.26291,-1.05504
2.848,80,67.3614,12.6386,-1.92492,50.7441,0.46751,2.67249,3.60751,-0.901181
2.88,80,76.807,3.19299,-1.84829,-38.1181,-0.246425,3.38643,2.89357,-0.85569
2.912,80,71.7462,8.25382,-1.6502,11.6791,0.152253,2.98775,3.29225,-0.755586
2.944,80,69.0906,10.9094,-1.38837,31.4729,0.317041,2.82296,3.45704,-0.628793
2.976,80,75.3108,4.68919,-1.27583,-26.6566,-0.150175,3.29017,2.98983,-0.57161
3.008,80,73.3026,6.69743,-1.1151,-4.58986,0.0245915,3.11541,3.16459,-0.49428
3.04,80,66.0545,13.9455,-0.780404,56.7287,0.524916,2.61508,3.66492,-0.342282
3.072,80,80.1023,-0.102321,-0.782859,-71.6822,-0.51067,3.65067,2.62933,-0.339783
3.104,80,80.3769,-0.376893,-0.791905,-59.6339,-0.427865,3.56786,2.71214,-0.340165
3.136,80,70.5204,9.47956,-0.564395,34.43,0.327467,2.81253,3.46747,-0.239964
3.168,80,76.305,3.69501,-0.475715,-20.6606,-0.114383,3.25438,3.02562,-0.200217
3.2,80,75.7781,4.22192,-0.374389,-12.1375,-0.0490072,3.18901,3.09099,-0.155995
3.232,80,70.6891,9.31089,-0.150928,32.698,0.314869,2.82513,3.45487,-0.0622639
3.264,80,70.1779,9.82213,0.0848035,30.4188,0.304007,2.83599,3.44401,0.034642
3.296,80,82.0111,-2.01109,0.0365373,-74.2752,-0.543864,3.68386,2.59614,0.0147805
3.328,80,71.2172,8.78281,0.247325,30.529,0.295898,2.8441,3.4359,0.0990884
3.36,80,77.2551,2.74488,0.313202,-25.8929,-0.157722,3.29772,2.98228,0.124286
3.392,80,74.353,5.64697,0.448729,3.46982,0.0766724,3.06333,3.21667,0.176387
3.424,80,72.954,7.04595,0.617832,14.434,0.167373,2.97263,3.30737,0.240589
3.456,80,74.1147,5.8853,0.759079,1.87516,0.0684149,3.07159,3.20841,0.292855
3.488,80,76.2871,3.71295,0.84819,-16.6028,-0.0817058,3.22171,3.05829,0.324232
3.52,80,72.1245,7.87548,1.0372,21.4055,0.225397,2.9146,3.3654,0.392879
3.552,80,71.9221,8.07786,1.23107,18.8109,0.209403,2.9306,3.3494,0.462113
3.584,80,69.7115,10.2885,1.47799,33.4704,0.333793,2.80621,3.47379,0.549849
3.616,80,77.1896,2.81042,1.54544,-35.5407,-0.221915,3.36191,2.91809,0.569854
3.648,80,75.4847,4.51529,1.65381,-14.2253,-0.0553477,3.19535,3.08465,0.604463
3.68,80,77.0296,2.97036,1.7251,-24.2546,-0.140056,3.28006,2.99994,0.625036
3.712,80,81.833,-1.83299,1.68111,-59.4317,-0.432465,3.57247,2.70753,0.603846
3.744,80,76.403,3.59697,1.76743,-2.29563,0.0211746,3.11883,3.16117,0.629428
3.776,80,75.6185,4.38147,1.87259,4.70096,0.0780716,3.06193,3.21807,0.661225
3.808,80,76.6518,3.34819,1.95295,-4.84991,0.00138176,3.13862,3.14138,0.683804
3.84,80,82.5445,-2.54455,1.89188,-52.986,-0.392631,3.53263,2.74737,0.656902
3.872,80,75.9577,4.04233,1.98889,12.5018,0.130582,3.00942,3.27058,0.68488
3.904,80,80.6911,-0.691115,1.97231,-29.4439,-0.209042,3.34904,2.93096,0.673602
