time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
6.752,80,73.9888,6.0112,0,446.388,4.2905,-1.1505,6.28,-16.789
6.784,80,80.2235,-0.223462,0,-259.778,-2.45758,5.59758,0.682421,-16.7108
6.816,80,82.4499,-2.44989,0,-92.7678,-0.906054,4.04605,2.23395,-16.6439
6.848,80,77.9504,2.04956,0,187.477,1.79625,1.34375,4.93625,-16.5565
6.88,80,81.2235,-1.22347,0,-136.376,-1.30343,4.44343,1.83657,-16.4852
6.912,80,79.8113,0.188748,0,58.8424,0.558325,2.58167,3.69833,-16.408
6.944,80,69.6537,10.3463,0,423.23,4.12368,-0.983679,6.28,-16.2847
6.976,80,75.8693,4.13074,0,-258.98,-2.3978,5.5378,0.742203,-16.1911
7.008,80,78.1711,1.8289,0,-95.9098,-0.884401,4.0244,2.2556,-16.1088
7.04,80,75.843,4.15704,0,97.0056,0.966588,2.17341,4.10659,-16.0167
7.072,80,79.7228,0.277153,0,-161.662,-1.52438,4.66438,1.61562,-15.9429
7.104,80,77.1609,2.83913,0,106.749,1.04285,2.09715,4.18285,-15.8583
7.136,80,81.2232,-1.22318,0,-169.263,-1.61421,4.75421,1.52579,-15.7927
7.168,80,81.9211,-1.92112,0,-29.081,-0.297869,3.43787,2.84213,-15.7308
7.2,80,80.4179,-0.417907,0,62.6339,0.586876,2.55312,3.72688,-15.6627
7.232,80,82.6997,-2.69974,0,-95.0764,-0.930868,4.07087,2.20913,-15.6054
7.264,80,80.5076,-0.507555,0,91.341,0.857082,2.28292,3.99708,-15.5389
7.296,80,80.686,-0.686023,0,-7.43618,-0.0785042,3.2185,3.0615,-15.4737
7.328,80,83.1616,-3.16163,0,-103.15,-1.01271,4.15271,2.12729,-15.42
7.36,80,78.2121,1.7879,0,206.23,1.97033,1.16967,5.11033,-15.3451
7.392,80,83.4778,-3.47784,0,-219.406,-2.11512,5.25512,1.02488,-15.2938
7.424,80,76.3612,3.63882,0,296.527,2.84585,0.29415,5.98585,-15.2122
7.456,80,80.0584,-0.0584127,0,-154.051,-1.45649,4.59649,1.68351,-15.1471
7.488,80,75.9079,4.09208,0,172.937,1.68336,1.45664,4.82336,-15.0649
7.52,80,82.2389,-2.2389,0,-263.791,-2.51969,5.65969,0.620308,-15.0103
7.552,80,81.7686,-1.7686,0,19.5959,0.163958,2.97604,3.30396,-14.9542
7.584,80,75.1491,4.85093,0,275.814,2.66465,0.475347,5.80465,-14.8706
7.616,80,79.4397,0.560269,0,-178.778,-1.68273,4.82273,1.45727,-14.8058
7.648,80,81.2771,-1.27709,0,-76.5567,-0.738786,3.87879,2.40121,-14.7492
7.68,80,77.8036,2.19641,0,144.729,1.39405,1.74595,4.53405,-14.6786
7.712,80,77.6364,2.36364,0,6.9681,0.0942123,3.04579,3.23421,-14.6079
7.744,80,79.1805,0.819513,0,-64.3388,-0.598167,3.73817,2.54183,-14.5441
7.776,80,77.3762,2.62379,0,75.1781,0.741918,2.39808,3.88192,-14.4735
7.808,80,78.5471,1.45295,0,-48.785,-0.443583,3.58358,2.69642,-14.4082
7.84,80,73.7983,6.20169,0,197.864,1.94424,1.19576,5.08424,-14.3241
7.872,80,80.8468,-0.846815,0,-293.688,-2.78551,5.92551,0.354488,-14.2693
7.904,80,85.563,-5.56301,0,-196.508,-1.92376,5.06376,1.21624,-14.2341
7.936,80,82.8978,-2.89776,0,111.052,1.01467,2.12533,4.15467,-14.1883
7.968,80,78.6581,1.34194,0,176.654,1.68548,1.45452,4.82548,-14.126
8,80,77.6935,2.30648,0,40.1896,0.407469,2.73253,3.54747,-14.0602
8.032,80,75.7897,4.21034,0,79.3275,0.800169,2.33983,3.94017,-13.9875
8.064,80,83.2045,-3.20452,0,-308.953,-2.95806,6,0.181942,-13.9447
8.096,80,86.645,-6.64499,0,-143.353,-1.43443,4.57443,1.70557,-13.9158
8.128,80,80.1134,-0.113391,0,272.15,2.57046,0.569543,5.71046,-13.8615
8.16,80,82.1358,-2.13582,0,-84.2681,-0.821963,3.96196,2.31804,-13.8155
8.192,80,86.907,-6.90697,0,-198.798,-1.96152,5.10152,1.17848,-13.7885
8.224,80,80.1177,-0.117675,0,282.887,2.67187,0.468128,5.81187,-13.7353
8.256,80,76.3329,3.66708,0,157.698,1.53425,1.60575,4.67425,-13.6679
8.288,80,80.8325,-0.832526,0,-187.484,-1.78171,4.92171,1.35829,-13.6183
